x,y,z,ax,ay,az,aw,s,ss
946.606,1130.27,0.0,0.0,0.0,0.047860715635079945,0.9988540193135822,37.17379653764553,0.7294717266624923
947.708,1130.38,0.0,0.0,0.0,0.051314916389485,0.9986825218035711,38.28127294822951,1.107476410583979
948.824,1130.5,0.0,0.0,0.0,0.0531706305671187,0.9985854415347216,39.40370601973085,1.122433071501344
949.576,1130.58,0.0,0.0,0.0,0.05477076886998767,0.9984989548704547,40.15994936680908,0.7562433470782326
950.717,1130.71,0.0,0.0,0.0,0.05678069758727571,0.998386674781621,41.30833127192599,1.1483819051169097
951.869,1130.84,0.0,0.0,0.0,0.05795807420416629,0.9983190179669745,42.467643136783785,1.1593118648578
952.646,1130.93,0.0,0.0,0.0,0.060022948619453696,0.9981969974103441,43.24983812526167,0.7821949884778842
953.823,1131.08,0.0,0.0,0.0,0.06055326042760127,0.998164967653938,44.43635782589879,1.186519700637123
954.616,1131.17,0.0,0.0,0.0,0.06134582172044455,0.9981165714271272,45.23444867285798,0.7980908469591894
955.414,1131.28,0.0,0.0,0.0,0.06331359902336778,0.9979936814322564,46.0399944505764,0.8055457777184243
957.027,1131.48,0.0,0.0,0.0,0.06493707200403279,0.9978893609411532,47.66534641246041,1.62535196188401
957.842,1131.59,0.0,0.0,0.0,0.065644250796946,0.9978430900383625,48.48773622270849,0.8223898102480852
958.663,1131.7,0.0,0.0,0.0,0.06626510584933679,0.9978020523865323,49.316072507076186,0.8283362843676905
959.077,1131.75,0.0,0.0,0.0,0.06607711048589335,0.9978145195725682,49.73308090027707,0.4170083932008862
960.744,1131.98,0.0,0.0,0.0,0.06869124283797458,0.9976379669786903,51.41587292545431,1.6827920251772375
962.009,1132.16,0.0,0.0,0.0,0.07034633866469404,0.9975226276313095,52.69361507471604,1.2777421492617314
962.434,1132.22,0.0,0.0,0.0,0.07015221519107454,0.9975362984392022,53.12282947335611,0.4292143986400675
963.714,1132.4,0.0,0.0,0.0,0.0729956364805537,0.9973322601093373,54.41542376392073,1.2925942905646164
965.008,1132.59,0.0,0.0,0.0,0.0744205635815169,0.9972269449409243,55.723298375647666,1.3078746117269382
965.441,1132.66,0.0,0.0,0.0,0.07532158441670404,0.997159294657056,56.16192008053699,0.4386217048893233
967.182,1132.93,0.0,0.0,0.0,0.07795528349725789,0.9969568565263304,57.9237319320126,1.7618118514756163
